Headline,Description,Sentiment,Date,Link
NYPD brass blasts migrant cop attackers as cowards suspect flips middle finger on way out of court,NYPD Chief of Patrol John Chell decried the Saturday night brawl targeting two officers as,-0.7466421127319336,2024-01-31,https://www.nydailynews.com/2024/01/31/nypd-brass-blasts-manhattan-migrant-cop-attackers-as-cowards/
Cops make arrest in fatal Brooklyn street stabbing,A 39-year-old man was arrested for fatally knifing a man in the neck during a,-0.6047989726066589,2024-01-26,https://www.nydailynews.com/2024/01/26/cops-make-arrest-in-fatal-brooklyn-street-stabbing/
Police nab shooter who killed man wounded three others in Queens,Eric Foster 39 was arrested Wednesday for the Dec 22 shooting in South Jamaica police,-0.1760916523881768,2024-01-24,https://www.nydailynews.com/2024/01/24/police-nab-shooter-who-killed-man-wounded-three-others-in-queens/
Victim in 1996 shooting helps get shooters sentence commuted,Carolyn Jones and David Herion now have the most unique of bonds showing the power of forgiveness,0.7188589572906494,2024-01-28,https://www.cbsnews.com/newyork/news/victim-in-1996-stray-bullet-shooting-in-brooklyn-successfully-pushed-to-have-shooters-45-year-sentence-commuted/
Five migrants charged in stabbing at Randalls Island shelter guard cleared,Another 12 residents were issued summonses but the attacker who actually stabbed the 24-year-old victim,-0.24703751698289977,2024-01-19,https://www.nydailynews.com/2024/01/19/five-migrants-charged-in-stabbing-at-randalls-island-shelter-guard-cleared/
Man stabbed on Bronx street by stranger in unprovoked attack,The victim was standing outside the Met Foodmarket when a man sporting glasses a black,-0.2492802429076164,2024-01-31,https://www.nydailynews.com/2024/01/31/man-stabbed-on-bronx-street-by-stranger-in-unprovoked-attack/
Bronx driver doing doughnuts kills two passengers in crash including girl 15,A driver doing dangerous donuts at a gathering of car stunt enthusiasts in the Bronx,-0.787440299987793,2024-01-21,https://www.nydailynews.com/2024/01/21/bronx-chrysler-driver-crashes-into-parked-truck-killing-2-passengers/
2 hurt in crash near Columbia University driver taken into custody,Police say the driver of a BMW struck a mini truck then both vehicles jumped the curb,-0.24999862863614553,2024-01-31,https://www.cbsnews.com/newyork/news/3-injured-in-crash-near-columbia-university/
Suspect arrested for fatal March shooting outside Brooklyn bodega,Derrick Prescod was arrested Monday for the March 20 shooting outside the Francena Mini Market,-0.24316929181949476,2024-01-23,https://www.nydailynews.com/2024/01/23/suspect-arrested-for-fatal-march-shooting-outside-brooklyn-bodega/
LI mom sentenced to 20 to life for smothering twins to death,Tenia Campbell now 28 admitted to killing her twin 2-year-old daughters in June 2019,-0.8344642519950867,2024-01-29,https://www.nydailynews.com/2024/01/29/long-island-tenia-campbell-sentenced-murder-twins/
61-year-old woman dies in Queens hit-and-run,Police said the driver of an SUV on 37th Avenue sped away after striking the woman walking on 90th Street in Jackson Heights,-0.6159512996673584,2024-02-01,https://www.cbsnews.com/newyork/news/woman-dies-elmhurst-queens-hit-and-run/
Man accused in teens shooting death turns down plea deal,Aamir Griffin was hit and killed by a stray bullet on a Queens basketball court back in 2019,-0.6236044764518738,2024-01-24,https://www.cbsnews.com/newyork/news/aamir-griffin-death-suspect-turns-down-plea-deal/
NYPD defends pulling over Councilman Yusef Salaam in Harlem,Concerns about racial profiling in Harlem after a city councilman was pulled over by police in his district News 4s Melissa Colorado reports\n,-0.20201462105592327,2024-01-28,https://www.nbcnewyork.com/news/local/nypd-defends-pulling-over-councilman-yusef-salaam-in-harlem/5082023/
Witnesses reluctant to testify in Jam Master Jay murder trial prosecutors say,Federal prosecutors filed a late night notice to the court Monday warning that some of its witnesses are now reluctant to testify and may lie under oath or plead the fifth out of fear of retaliation,-0.5671613216400146,2024-01-30,https://www.cbsnews.com/newyork/news/witnesses-reluctant-to-testify-in-jam-master-jay-murder-trial-prosecutors-say/
NYC church backs out on migrant shelter following legal threat from electeds,Faced with the promise of legal action by local politicians and s Episcopal Church on Staten Island said it will stand,-0.24913025587738957,2024-01-27,https://www.nbcnewyork.com/investigations/migrant-crisis/nyc-church-backs-out-on-migrant-shelter-following-legal-threat-from-electeds/5080426/
